ts	temp_avg	vpd_avg	rh_avg	outdoor_rh_pct	enthalpy_delta	outdoor_temp_f	outdoor_dewpoint_f	indoor_dew_point	solar_irradiance_w_m2	outdoor_data_age_s	sp_temp_high	sp_temp_low	sp_vpd_high	sp_vpd_low	sp_bias_cool	sp_vpd_hysteresis	sp_watch_dwell_s	sp_bias_heat	sp_temp_hysteresis	sp_safety_max	sp_safety_min	sp_vpd_max_safe	sp_vpd_min_safe	sp_fog_escalation_kpa	sp_sw_fsm_controller_enabled	sp_mist_backoff_s	sp_mist_s2_delay_s	occupied	greenhouse_state	mode_reason	eq_fog	eq_vent	eq_fan1	eq_fan2	eq_heat1	eq_heat2	eq_mister_south	eq_mister_west	eq_mister_center
2025-08-05 13:00:00+00	70.3399963378906	1.00394749641418	60.375	30	-9.27741622924805			55.9839668273926																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:04:00+00	70.3399963378906	1.00140655040741	60.4000015258789	30	-9.2371826171875			56.0296401977539																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:12:00+00	70.3399963378906	1.00711417198181	60.2500038146973	30	-8.84300231933594			55.9267845153809																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:14:00+00	70.3850021362305	1.01053500175476	60.125	30	-8.61529922485352			55.9347457885742																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:16:00+00	70.4300003051758	1.0102127790451	60.2500038146973	30	-8.55420303344727			56.0114250183105																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:18:00+00	70.4300003051758	1.01344180107117	60.125	30	-8.84826278686523			55.9426422119141																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:20:00+00	70.5199966430664	1.0203275680542	59.9500007629395	30	-8.24614334106445			55.9698028564453																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:24:00+00	70.5199966430664	1.02159404754639	59.9000015258789	30	-8.00865173339844			55.9582977294922																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:26:00+00	70.5649948120117	1.02632069587708	59.7999992370605	30	-8.69661712646484			55.943000793457																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:28:00+00	70.6549987792969	1.0327832698822	59.6500015258789	30	-8.47006225585938			55.9582939147949																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:32:00+00	70.6999969482422	1.03428542613983	59.625	30	-8.29453277587891			56.0121192932129																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:34:00+00	70.745002746582	1.04111182689667	59.4750022888184	30	-8.14553833007812			55.9849662780762																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:36:00+00	70.8350067138672	1.0442179441452	59.4749984741211	30	-7.83100128173828			56.0463027954102																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:40:00+00	70.9700012207031	1.05166685581207	59.375	30	-8.01826095581055			56.1033592224121																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:42:00+00	71.0599975585938	1.05821692943573	59.2750015258789	30	-7.35160446166992			56.1878318786621																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:44:00+00	71.1050033569336	1.06172120571136	59.1750030517578	30	-7.54706954956055			56.1368560791016																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:46:00+00	71.1500091552734	1.06725335121155	59.0499992370605	30	-7.59293746948242			56.1089706420898																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:48:00+00	71.2400054931641	1.06990253925323	59.0499992370605	30	-7.93588638305664			56.2401580810547																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:50:00+00	71.375	1.07670795917511	58.9750022888184	30	-7.89100646972656			56.3200073242188																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:52:00+00	71.375	1.08129096031189	58.7750015258789	30	-7.4452018737793			56.2379302978516																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:54:00+00	71.5550079345703	1.08790111541748	58.7250022888184	30	-7.3462028503418			56.3832054138184																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:56:00+00	71.6450042724609	1.0966374874115	58.4500007629395	30	-7.68858337402344			56.4087142944336																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 13:58:00+00	71.6900024414062	1.10099744796753	58.4500007629395	30	-7.86791229248047			56.3800926208496																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
