2025-08-05 18:02:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:02:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:04:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:04:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:06:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:06:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:08:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:08:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:20:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:20:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:22:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:22:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:24:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:24:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:26:00+00	OLD	SEALED_MIST	0	0	0	0	0	0	2
2025-08-05 18:26:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:38:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:38:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:40:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:40:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:42:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:42:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:44:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:44:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:56:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:56:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 18:58:00+00	OLD	SEALED_MIST	1	0	0	0	0	0	3
2025-08-05 18:58:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 19:00:00+00	OLD	SEALED_MIST	0	0	0	0	0	0	2
2025-08-05 19:00:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 19:02:00+00	OLD	SEALED_MIST	0	0	0	0	0	0	2
2025-08-05 19:02:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 19:14:00+00	OLD	SEALED_MIST	0	0	0	0	0	0	0
2025-08-05 19:14:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 19:16:00+00	OLD	SEALED_MIST	0	0	0	0	0	0	1
2025-08-05 19:16:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 19:18:00+00	OLD	SEALED_MIST	0	0	0	0	0	0	1
2025-08-05 19:18:00+00	NEW	IDLE	0	0	0	0	0	0	0
2025-08-05 19:30:00+00	OLD	SEALED_MIST	0	0	0	0	0	0	0
2025-08-05 19:30:00+00	NEW	IDLE	0	0	0	0	0	0	0
